,HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K)
346,354,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,cristatella,Crested auklet,1095.0,1095.0,34.0,,1.0,1.0,,,,289.0,0.19699999999999998,10.8,wild,medium,acceptable,,,,,
347,355,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pusilla,Least auklet,1095.0,1095.0,30.0,,1.0,1.0,,,,96.0,0.221,8.1,wild,medium,acceptable,,,,,
348,356,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pygmaea,Whiskered auklet,,1095.0,,,1.0,,,,,120.0,,15.0,wild,medium,acceptable,,,,,
349,357,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,Razorbill,1460.0,1460.0,36.0,,1.0,1.0,,63.8,,726.0,0.285,42.0,wild,small,acceptable,,,,,
350,358,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Marbled murrelet,730.0,730.0,,,,,,,,222.0,,10.0,wild,medium,acceptable,,,,,
351,359,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,columba,Pigeon guillemot,1095.0,1095.0,31.0,,2.0,,,43.7,,483.8,0.156,15.2,wild,medium,acceptable,,,,,
352,360,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,grylle,Black guillemot,1095.0,1095.0,25.0,,2.0,1.0,,33.0,,427.5,,29.9,wild,small,acceptable,,,,,
353,361,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,Rhinoceros auklet,1095.0,1095.0,45.0,,1.0,1.0,,54.5,,544.1,0.098,28.2,wild,small,acceptable,,,,,
354,362,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,Atlantic puffin,1460.0,1460.0,42.0,,1.0,1.0,,39.7,,490.5,0.145,40.8,wild,small,acceptable,,,,,
355,363,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Ptychoramphus,aleuticus,Cassin's auklet,730.0,730.0,,,,,,,,184.0,,16.2,wild,medium,acceptable,,,,,
356,364,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,antiquus,Ancient murrelet,730.0,730.0,33.0,,2.0,1.0,,32.9,,223.6,,,unknown,small,low,,,,,
357,365,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,Xantus' murrelet,730.0,730.0,34.0,,2.0,1.0,,24.8,,167.0,,15.0,wild,medium,acceptable,,,,,
358,366,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,Common murre,1825.0,1825.0,31.0,,1.0,1.0,,,,992.0,0.201,42.8,wild,large,acceptable,,,6.8224,956.0,
359,367,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,lomvia,Thick-billed murre,1862.0,2081.0,33.0,,1.0,1.0,,70.4,,964.0,0.212,29.0,wild,medium,acceptable,,,6.8224,989.0,
360,368,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,Eurasian thick-knee,,,,,,,,,,459.0,0.081,17.9,wild,medium,acceptable,,,,,
361,369,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,alexandrinus,Snowy plover,310.0,331.0,24.0,,3.0,,,6.0,,37.0,,19.0,wild,medium,acceptable,,,,,
362,370,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,dubius,Little ringed plover,730.0,730.0,,,,,,,,38.7,0.138,13.0,wild,medium,acceptable,,,0.41600000000000004,36.0,
363,371,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,hiaticula,Common ringed plover,365.0,365.0,,,,,,,,64.0,0.177,20.8,wild,medium,acceptable,,,,,
364,372,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,melodus,Piping plover,365.0,365.0,28.0,,4.0,1.0,,6.75,,49.0,0.152,14.0,wild,medium,acceptable,,,,,
365,373,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,montanus,Mountain plover,365.0,365.0,,,6.0,,,,,100.0,,10.0,wild,medium,acceptable,,,,,
366,374,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,morinellus,Eurasian dotterel,,,,,,,,,,108.5,,11.8,wild,medium,acceptable,,,,,
367,375,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,semipalmatus,Semipalmated plover,912.0,912.0,24.0,,4.0,1.0,,6.52,,52.0,,9.2,wild,small,acceptable,,,,,
368,376,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,vociferus,Killdeer,365.0,365.0,24.0,,4.0,,,9.85,,88.0,,10.9,wild,small,acceptable,,,,,
369,377,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,apricaria,European golden-plover and greater golden-plover,730.0,730.0,,,,,,,,214.0,0.12,12.8,wild,medium,acceptable,,,,,
370,378,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,dominica,American golden plover,365.0,365.0,26.0,,4.0,,,19.5,,118.0,,13.0,wild,small,questionable,,,,,
371,379,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,fulva,Pacific golden-plover,365.0,365.0,,,,,,,,135.0,,21.3,wild,small,acceptable,,,,,
372,380,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,Black-bellied plover,730.0,730.0,27.0,,4.0,1.0,,21.4,,224.0,,25.6,wild,medium,acceptable,,,,,
373,381,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,armatus,Blacksmith lapwing,,,29.0,,,,,,,156.0,,18.6,captivity,medium,acceptable,,,,,
374,382,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,spinosus,Spur-winged lapwing,,,,,,,,,,188.0,,17.0,wild,medium,acceptable,,,,,
375,383,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,Northern lapwing,730.0,730.0,24.0,,4.0,,,,,218.5,0.114,24.5,wild,medium,acceptable,0.2,6.0,,,
376,384,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,bachmani,Black oystercatcher,1825.0,1825.0,26.0,,2.0,1.0,,34.0,,670.0,,16.0,wild,tiny,acceptable,,,,,
377,385,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,ostralegus,Eurasian oystercatcher,1095.0,1095.0,,,,,,,,480.0,0.11900000000000001,43.3,wild,medium,acceptable,,,2.91,449.0,
378,386,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,American oystercatcher,1095.0,1095.0,27.0,,2.0,1.0,,37.3,,565.0,,17.0,wild,small,acceptable,,,,,
379,387,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,minutus,Black noddy,730.0,730.0,34.0,,1.0,1.0,,16.8,,110.4,0.192,27.1,wild,medium,acceptable,,,,,
380,388,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,stolidus,Noddy tern,1095.0,1460.0,35.0,,1.0,1.0,,24.8,,178.0,0.145,26.2,wild,medium,acceptable,,,0.788095,138.7,
381,389,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,niger,Black tern,730.0,730.0,21.0,,3.0,,,7.25,,60.0,0.374,21.0,wild,tiny,acceptable,,,,,
382,390,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,genei,Slender-billed gull,730.0,730.0,,,,,,,,281.0,,31.7,wild,medium,acceptable,,,,,
383,391,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Black-headed gull,730.0,730.0,22.0,,3.0,,,,,306.0,0.248,32.9,wild,medium,acceptable,,,,,
384,392,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,nilotica,Gull-billed tern,1825.0,1825.0,22.0,,3.0,1.0,,21.4,,221.0,,16.0,wild,small,acceptable,,,,,
385,393,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gygis,alba,Fairy tern,1764.0,1764.0,36.0,,1.0,,,13.0,,98.1,0.094,35.9,wild,medium,acceptable,,,0.8223600000000001,98.1,
386,394,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,minutus,Little gull,730.0,730.0,21.0,,3.0,,,,,119.0,0.273,20.9,wild,medium,acceptable,,,,,
387,395,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,caspia,Caspian tern,1095.0,1095.0,21.0,,2.0,1.0,,48.5,,644.0,0.19399999999999998,30.0,wild,medium,acceptable,,,,,
388,396,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,audouinii,Audouin's gull,1095.0,1095.0,,,,,,,,535.0,0.18,20.9,wild,medium,acceptable,,,,,
389,397,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,ichthyaetus,Great black-headed gull,1095.0,1095.0,,,,,,,,1394.0,,,unknown,small,low,,,,,
390,398,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,melanocephalus,Mediterranean gull,1095.0,1095.0,,,,,,,,256.0,,22.1,wild,medium,acceptable,,,,,
391,399,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larosterna,inca,Inca tern,,,28.0,,,,,,,219.0,,26.0,captivity,large,acceptable,,,,,
392,400,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,argentatus,Herring gull,1825.0,1460.0,26.0,,3.0,1.0,,67.5,,1094.0,0.155,49.0,unknown,medium,acceptable,0.004,6.0,4.817,1000.0,
393,401,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,cachinnans,Caspian gull,1460.0,1460.0,,,,,,,,1117.2,,31.9,wild,medium,acceptable,,,,,
394,402,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,californicus,California gull,1095.0,1095.0,25.0,,3.0,1.0,,50.0,,691.0,0.16,30.0,wild,medium,acceptable,,,,,
395,403,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,canus,Mew gull,1095.0,730.0,23.0,,3.0,1.0,,40.0,,430.6,0.191,33.7,wild,medium,acceptable,,,2.2569999999999997,431.0,
396,404,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,Ring-billed gull,730.0,730.0,21.0,,3.0,1.0,,36.3,,518.5,,31.8,wild,medium,acceptable,,,2.91742,439.0,
397,405,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,fuscus,Lesser black-backed gull,1460.0,1460.0,,,,,,,,766.2,0.128,34.9,wild,medium,acceptable,,,,,
398,406,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,glaucescens,Glaucous-winged gull,,,27.0,,3.0,,,70.65,,908.0,0.134,32.0,wild,medium,acceptable,,,,,
399,407,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,glaucoides,Iceland gull,1460.0,1460.0,25.0,,2.39,1.0,,,,945.5,,33.0,wild,medium,acceptable,,,,,
400,408,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,heermanni,Heermann's gull,,,,,,,,,,500.0,,24.0,wild,medium,acceptable,,,,,
401,409,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,hyperboreus,Glaucous gull,1460.0,1460.0,27.0,,3.0,1.0,,72.6,,1210.0,,21.1,wild,medium,acceptable,,,,,
402,410,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,marinus,Great black-backed gull,1825.0,1825.0,27.0,,3.0,,,85.0,,1658.5,0.13,29.2,wild,small,acceptable,,,,,
403,411,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,michahellis,Yellow-legged gull,,,,,,,,,,,,19.2,wild,medium,acceptable,,,,,
404,412,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,occidentalis,Western gull,1825.0,1460.0,27.0,,3.0,1.0,,67.5,,931.5,0.136,33.9,wild,medium,acceptable,,,3.43629,761.0,
405,413,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,pacificus,Pacific gull,,,,,,,,,,1313.5,,14.5,captivity,small,acceptable,,,,,
406,414,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,atricilla,Laughing gull,,,24.0,,3.0,,,30.1,,275.6,,22.0,wild,medium,acceptable,,,,,
407,415,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,pipixcan,Franklin's gull,730.0,730.0,24.0,,3.0,1.0,,25.7,,263.3,,,unknown,tiny,low,,,,,
408,416,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,anaethetus,Bridled tern,,,,,,,,,,133.3,,17.9,wild,medium,acceptable,,,,,
409,417,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,fuscatus,Sooty tern,1460.0,1460.0,28.0,,1.0,1.0,,23.4,,148.0,0.11,35.8,wild,medium,acceptable,,,,,
410,418,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,lunatus,Gray-backed tern,1825.0,1825.0,,,1.0,,,18.5,,131.7,0.151,25.8,wild,small,acceptable,,,,,
411,419,Animalia,Chordata,Aves,Charadriiformes,Laridae,Pagophila,eburnea,Ivory gull,730.0,730.0,25.0,,2.0,1.0,,,,550.0,,23.9,wild,small,acceptable,,,,,
412,420,Animalia,Chordata,Aves,Charadriiformes,Laridae,Procelsterna,cerulea,Blue-gray noddy,,,,,,,,,,53.0,,15.0,wild,small,acceptable,,,,,
413,421,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,brevirostris,Red-legged kittiwake,,,,,,,,,,377.0,,27.0,wild,medium,acceptable,,,,,
414,422,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,Black-legged kittiwake,1460.0,1460.0,27.0,,2.0,1.0,,36.0,,317.0,0.184,28.5,wild,medium,acceptable,,,,,
415,423,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,niger,Black skimmer,730.0,730.0,23.0,,4.0,1.0,,,,315.0,0.228,20.2,wild,medium,acceptable,,,,,
416,424,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,dougallii,Roseate tern,1095.0,1095.0,23.0,,2.0,1.0,,14.8,,112.0,0.266,25.7,wild,medium,acceptable,,,,,
417,425,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,forsteri,Forster's tern,730.0,730.0,23.0,,3.0,1.0,,13.78,,158.0,0.201,15.8,wild,small,acceptable,,,,,
418,426,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,hirundo,Common tern,1095.0,1095.0,24.0,,2.5,1.0,,1.25,,120.0,0.252,33.0,wild,medium,acceptable,,,,,
419,427,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,paradisaea,Arctic tern,1095.0,1095.0,21.0,,2.0,1.0,,13.1,,100.0,0.27,34.0,wild,medium,acceptable,,,,,
420,428,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,albifrons,Little tern,730.0,730.0,21.0,,2.0,,,,,31.0,0.182,23.9,wild,medium,acceptable,,,,,
421,429,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,antillarum,Least tern,1095.0,1095.0,21.0,,2.0,,,7.0,,40.0,0.307,24.1,wild,medium,acceptable,,,,,
422,430,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,elegans,Elegant tern,1095.0,1095.0,26.0,,1.0,1.0,,26.4,,251.0,,20.9,wild,small,acceptable,,,,,
423,431,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,maximus,Royal tern,1095.0,1095.0,28.0,,2.0,1.0,,56.0,,373.0,,28.6,wild,medium,acceptable,,,,,
424,432,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,sandvicensis,Sandwich tern,1095.0,1095.0,22.0,,1.0,1.0,,28.0,,250.0,,30.8,unknown,medium,acceptable,,,,,
425,433,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,himantopus,Black-winged stilt,,,,,,,,,,161.0,0.175,10.2,wild,medium,acceptable,,,,,
426,434,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,Black-necked (Hawaiian) stilt,365.0,365.0,25.0,,4.0,1.0,,13.6,,186.0,,19.1,unknown,medium,acceptable,,,,,
427,435,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,americana,American avocet,365.0,365.0,24.0,,4.0,1.0,,,,340.0,,,unknown,small,low,,,,,
428,436,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,avosetta,Pied avocet,730.0,730.0,,,,,,,,304.0,0.192,27.8,wild,medium,acceptable,,,,,
429,437,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,hypoleucos,Common sandpiper,365.0,365.0,,,,,,,,48.0,,14.5,wild,medium,acceptable,,,,,
430,438,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,macularius,Spotted sandpiper,365.0,365.0,20.0,,4.0,1.0,,6.04,,34.0,,12.0,wild,small,acceptable,,,,,
431,439,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,Ruddy turnstone,730.0,730.0,22.0,,4.0,1.0,,11.42,,136.0,0.114,22.3,wild,medium,acceptable,,,0.92,90.0,
432,440,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,longicauda,Upland sandpiper,,,22.0,,4.0,1.0,,18.0,,141.0,,8.9,wild,medium,acceptable,,,,,
433,441,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alba,Sanderling,730.0,730.0,27.0,,4.0,1.5,,7.3,,50.0,,18.6,wild,small,acceptable,,,,,
434,442,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Dunlin,730.0,730.0,21.0,,4.0,1.0,,9.0,,52.5,,28.8,wild,small,acceptable,,,,,
435,443,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,Red knot,1095.0,1095.0,22.0,,4.0,1.0,,,,135.0,,27.3,wild,small,acceptable,,,,,
436,444,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,ferruginea,Curlew sandpiper,1095.0,1095.0,,,,,,,,58.1,,19.7,wild,medium,acceptable,,,,,
437,445,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,fuscicollis,White-rumped sandpiper,365.0,365.0,22.0,,4.0,,,5.0,,42.0,,,unknown,small,low,,,,,
438,446,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,himantopus,Stilt sandpiper,730.0,730.0,,,,,,,,57.3,,11.1,wild,tiny,acceptable,,,,,
439,447,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,maritima,Purple sandpiper,1095.0,1095.0,22.0,,4.0,1.0,,9.1,,65.2,,20.8,wild,medium,acceptable,,,,,
440,448,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,mauri,Western sandpiper,730.0,730.0,21.0,,4.0,1.0,,5.0,,26.19,,9.2,wild,small,acceptable,,,,,
441,449,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,melanotos,Pectoral sandpiper,365.0,365.0,22.0,,4.0,1.0,,8.27,,85.0,,,unknown,small,low,,,,,
442,450,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,minuta,Little stint,730.0,730.0,,,,,,,,21.1,,14.7,wild,medium,acceptable,,,,,
443,451,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,minutilla,Least sandpiper,365.0,365.0,20.0,,4.0,1.0,,4.06,,26.0,,16.0,wild,medium,acceptable,,,,,
444,452,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,ptilocnemis,Rock sandpiper,365.0,365.0,20.0,,4.0,1.0,,9.7,,84.0,,,unknown,small,low,,,,,
445,453,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,pusilla,Semipalmated sandpiper,365.0,365.0,20.0,,4.0,1.0,,4.4,,27.0,,19.3,wild,medium,acceptable,0.3,,,,
446,454,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,temminckii,Temminck's stint,,,,,,,,,,23.0,,12.9,wild,medium,acceptable,,,,,
447,455,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,delicata,Wilson's snipe,,,,,,,,,,122.0,,9.2,wild,medium,acceptable,,,,,
448,456,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,gallinago,Common snipe,365.0,365.0,19.0,,4.0,,,11.0,,131.6,,18.2,wild,medium,acceptable,,,,,
449,457,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limicola,falcinellus,Broad-billed sandpiper,,,,,,,,,,37.1,,6.8,wild,medium,acceptable,,,,,
450,458,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,griseus,Short-billed dowitcher,365.0,365.0,21.0,,4.0,1.0,,11.8,,105.0,,13.3,wild,small,acceptable,,,,,
451,459,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus,Long-billed dowitcher,,,20.0,,4.0,1.0,,,,130.0,,13.2,wild,medium,acceptable,,,,,
452,460,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,fedoa,Marbled godwit,1095.0,1095.0,24.0,,4.0,1.0,,37.0,,336.0,,13.7,wild,tiny,acceptable,,,,,
453,461,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,lapponica,Bar-tailed godwit,730.0,730.0,21.0,,4.0,1.0,,28.0,,322.0,,34.0,wild,medium,acceptable,,,,,
454,462,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,limosa,Black-tailed godwit,730.0,730.0,,,,,,,,294.0,0.132,23.6,wild,medium,acceptable,,,,,
455,463,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Lymnocryptes,minimus,Jack snipe,365.0,365.0,,,,,,,,50.2,,12.3,wild,medium,acceptable,,,,,
456,464,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,arquata,Eurasian curlew,730.0,730.0,,,,,,,,728.0,0.13,31.8,wild,medium,acceptable,,,,,
457,465,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,phaeopus,Whimbrel,730.0,730.0,22.0,,4.0,1.0,,35.0,,365.7,,24.2,wild,small,acceptable,,,,,
458,466,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,tahitiensis,Bristle-thighed curlew,1065.0,1065.0,,,4.0,1.0,,37.6,,408.6,,23.8,wild,small,acceptable,,,,,
459,467,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,lobatus,Red-necked phalarope,365.0,365.0,,,,,,,,33.8,,12.9,wild,tiny,acceptable,,,,,
460,468,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,tricolor,Wilson's phalarope,,,23.0,,4.0,,,,,57.0,,10.0,wild,medium,acceptable,,,,,
461,469,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Philomachus,pugnax,Ruff,730.0,730.0,,,,,,,,136.0,0.134,13.9,wild,medium,acceptable,,,,,
462,470,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,minor,American woodcock,300.0,300.0,20.0,,4.0,1.0,,12.2,,197.5,,20.9,wild,large,acceptable,,,1.0659999999999998,156.7,
463,471,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,rusticola,Eurasian woodcock,365.0,365.0,,,,,,,,308.3,,15.5,wild,medium,acceptable,,,2.16,430.0,
464,472,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,erythropus,Spotted redshank,365.0,365.0,,,,,,,,158.0,,8.6,wild,medium,acceptable,,,,,
465,473,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,flavipes,Lesser yellowlegs,365.0,365.0,23.0,,2.0,1.0,,11.5,,80.65,,,unknown,tiny,low,,,,,
466,474,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,glareola,Wood sandpiper,365.0,365.0,,,,,,,,62.5,,11.6,wild,medium,acceptable,,,,,
467,475,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,nebularia,Common greenshank,365.0,365.0,,,,,,,,187.0,,24.4,wild,medium,acceptable,,,,,
468,476,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,ochropus,Green sandpiper,365.0,365.0,,,,,,,,90.0,,11.5,wild,medium,acceptable,,,,,
469,477,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,Willet,730.0,730.0,22.0,,4.0,1.0,,28.0,,270.0,,12.6,wild,small,acceptable,,,,,
470,478,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,stagnatilis,Marsh sandpiper,,,,,,,,,,77.5,,7.1,wild,medium,acceptable,,,,,
471,479,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,totanus,Common redshank,365.0,365.0,,,,,,,,149.0,0.10300000000000001,26.9,wild,medium,acceptable,,,,,
472,480,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus,cinereus,Terek sandpiper,,,,,,,,,,78.8,,16.0,wild,medium,acceptable,,,,,
473,481,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,antarcticus,Brown skua,,,,,,,,,,1687.0,,28.8,wild,medium,acceptable,,,,,
474,482,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Long-tailed jaeger,,,23.0,,2.0,,,,,298.0,0.331,14.0,wild,medium,acceptable,,,,,
475,483,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,maccormicki,South polar skua,,,,,,,,,,1349.0,,23.5,wild,medium,acceptable,,,,,
476,484,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,Parasidic jaeger,1200.0,1200.0,26.0,,2.0,,,28.5,,445.5,,31.1,wild,medium,acceptable,,,,,
477,485,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,skua,Great skua,2190.0,2190.0,,,,,,,,1340.0,0.156,34.5,wild,medium,acceptable,,,,,
478,486,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Anastomus,lamelligerus,African openbill,,,,,,,,,,1081.0,,,unknown,small,low,,,,,
479,487,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Anastomus,oscitans,Asian openbill,,,,,,,,,,,,18.0,captivity,small,acceptable,,,,,
480,488,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,abdimii,Abdim's stork,,,,,,,,,,1398.0,,21.6,captivity,medium,acceptable,,,,,
481,489,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,boyciana,Oriental white stork,,,,,,,,,,4850.5,,48.1,captivity,medium,acceptable,,,,,
482,490,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,European white stork,1460.0,1460.0,33.0,,4.0,,,,,3350.0,0.17,39.0,wild,medium,acceptable,,,,,
483,491,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,episcopus,Woolly-necked stork,,,,,,,,,,2061.0,,30.2,captivity,medium,acceptable,,,,,
